,Unnamed: 0,categoria,referencia,columna,gravedad(dias),error_min,error_max
0,0,vehiculo_paciente,Automóvil/Camioneta,Bicicleta/Scooter,8.528486051251873,0.1763697456585848,0.1763697456585848
1,1,vehiculo_paciente,Automóvil/Camioneta,Microbus/Bus/Furgón,-3.837094499745899,0.1912497370381864,0.191249737038186
2,2,vehiculo_paciente,Automóvil/Camioneta,Motocicleta,22.961188437474902,0.1692802177269499,0.1692802177269499
3,3,pcnt_genero,F,M,8.419732480953455,0.1395489479701961,0.1395489479701961
4,4,day_of_week,0,1,-3.902933989848453,0.1778833888274347,0.1778833888274351
5,5,day_of_week,0,2,-0.672657003548202,0.174833268928945,0.174833268928945
6,6,day_of_week,0,3,-1.7974610895401486,0.177288357633458,0.177288357633458
7,7,day_of_week,0,4,0.4217398771915276,0.1774670170298614,0.1774670170298614
8,8,day_of_week,0,5,5.114303027455866,0.2278557308004432,0.2278557308004432
9,9,day_of_week,0,6,2.5455591078350555,0.2946464252161598,0.2946464252161598
10,10,day_period,valley,afternoon_peak,2.157020355776456,0.1659811795500851,0.1659811795500849
11,11,day_period,valley,lunch,-2.364330897904337,0.2368878006661168,0.2368878006661168
12,12,day_period,valley,morning_peak,-5.150678434903698,0.1463219210492239,0.1463219210492239
13,13,day_period,valley,night,2.7598878110291274,0.2171818252990149,0.2171818252990149
14,14,month,February,April,0.2984456011465923,0.2680693947922921,0.2680693947922921
15,15,month,February,August,-1.643084916602704,0.2816477126410002,0.2816477126410002
16,16,month,February,December,-1.103688976088094,0.2645538036497241,0.2645538036497241
17,17,month,February,January,-0.0873810463967442,0.2675898208715174,0.2675898208715174
18,18,month,February,July,0.3046822707481564,0.2830536619238631,0.283053661923863
19,19,month,February,June,-1.442907547670856,0.2822568087899493,0.2822568087899493
20,20,month,February,March,1.0410350476111336,0.2563886737312171,0.2563886737312171
21,21,month,February,May,-3.238733392981147,0.2806742696793369,0.2806742696793369
22,22,month,February,November,-0.7863906412601995,0.2629988690889759,0.2629988690889758
23,23,month,February,October,-0.2321180439919014,0.2659217253889757,0.2659217253889758
24,24,month,February,September,-0.2343368161590843,0.2782620554878523,0.2782620554878522
25,25,DistManhattan,0,0,-0.0280096890066809,0.0059470825641653,0.0059470825641653
26,26,pcnt_edad,0,0,0.4855772296968603,0.0042603103160355,0.0042603103160355
