,ComunaOrigen,ComunaDestino,tramo_dist,vehiculo_paciente,day_period,rango_edad,genero,day_week,freq
0,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,afternoon_peak,25.0,M,0,3.080145382862071e-05
1,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,afternoon_peak,35.0,F,0,6.160290765724142e-05
2,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,afternoon_peak,50.0,F,0,3.080145382862071e-05
3,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,afternoon_peak,50.0,M,0,6.160290765724142e-05
4,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,morning_peak,20.0,F,0,6.160290765724142e-05
5,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,morning_peak,25.0,M,0,0.00012320581531448285
6,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,morning_peak,30.0,F,0,3.080145382862071e-05
7,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,morning_peak,30.0,M,0,3.080145382862071e-05
8,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,morning_peak,50.0,F,0,3.080145382862071e-05
9,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,morning_peak,50.0,M,0,3.080145382862071e-05
10,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,night,20.0,M,5,3.080145382862071e-05
11,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,valley,20.0,M,5,3.080145382862071e-05
12,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,afternoon_peak,50.0,M,0,6.160290765724142e-05
13,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,afternoon_peak,60.0,M,0,3.080145382862071e-05
14,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,20.0,F,0,3.080145382862071e-05
15,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,20.0,M,0,6.160290765724142e-05
16,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,25.0,F,0,3.080145382862071e-05
17,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,25.0,M,0,0.0002464116306289657
18,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,30.0,F,0,6.160290765724142e-05
19,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,30.0,M,0,3.080145382862071e-05
20,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,35.0,F,0,6.160290765724142e-05
21,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,45.0,F,0,3.080145382862071e-05
22,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,45.0,M,0,6.160290765724142e-05
23,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,50.0,M,0,0.00012320581531448285
24,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,55.0,M,0,3.080145382862071e-05
25,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,night,55.0,M,6,3.080145382862071e-05
26,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,valley,20.0,M,6,3.080145382862071e-05
27,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,valley,25.0,M,0,3.080145382862071e-05
28,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,valley,30.0,F,0,3.080145382862071e-05
29,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,valley,35.0,M,0,6.160290765724142e-05
